innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Praveen Kumar,4,0,38,0,9.50,13,3,3,1,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Zaheer Khan,4,0,38,1,9.50,8,3,2,0,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Ashley Noffke,4,0,40,1,10.00,7,2,2,1,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Jacques Kallis,4,0,48,1,12.00,9,5,3,1,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Sunil Joshi,3,0,26,0,8.66,4,0,2,0,0,Royal Challengers Bangalore
1,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Cameron White,1,0,24,0,24.00,0,2,2,1,0,Royal Challengers Bangalore
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Ashok Dinda,3,0,9,2,3.00,11,0,0,2,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0,Kolkata Knight Riders
2,indian-premier-league-2007-08-313494,royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982,Laxmi Shukla,1.1,0,12,1,10.28,3,0,1,2,0,Kolkata Knight Riders
